"Rank", "Title", "Release", "Distributor", "Genre", "MPAA", "Gross", "Tickets", "Adjusted Gross"
  1,"Harry Potter and the Deathly Hallows: Part II","7/15/2011","Warner Bros.","Adventure","PG-13",  381011219,  47865731,  377660618
  2,"Transformers: Dark of the Moon","6/29/2011","Paramount Pictures","Action","PG-13",  352390543,  44270169,  349291633
  3,"The Twilight Saga: Breaking Dawn, Part 1","11/18/2011","Summit Entertainment","Drama","PG-13",  275530738,  34614414,  273107726
  4,"The Hangover 2","5/26/2011","Warner Bros.","Comedy","R",  254464305,  31967878,  252226557
  5,"Pirates of the Caribbean: On Stranger Tides","5/20/2011","Walt Disney Pictures","Adventure","PG-13",  241063875,  30284406,  238943963
  6,"Fast Five","4/29/2011","Universal","Action","PG-13",  209837675,  26361517,  207992369
  7,"Cars 2","6/24/2011","Walt Disney Pictures","Adventure","G",  191450875,  24051617,  189767258
  8,"Thor","5/6/2011","Paramount Pictures","Action","PG-13",  181030624,  22742541,  179438648
  9,"Rise of the Planet of the Apes","8/5/2011","20th Century Fox","Adventure","PG-13",  176760185,  22206053,  175205758
 10,"Captain America: The First Avenger","7/22/2011","Paramount Pictures","Action","PG-13",  176654505,  22192777,  175101011
 11,"The Help","8/10/2011","Walt Disney Pictures","Drama","PG-13",  169499546,  21293913,  168008974
 12,"Bridesmaids","5/13/2011","Universal","Comedy","R",  169106725,  21244563,  167619602
 13,"Kung Fu Panda 2","5/26/2011","Paramount Pictures","Adventure","PG",  165249063,  20759933,  163795871
 14,"X-Men: First Class","6/3/2011","20th Century Fox","Action","PG-13",  146408305,  18393003,  145120794
 15,"Puss in Boots","10/28/2011","Paramount Pictures","Adventure","PG",  145483661,  18276842,  144204283
 16,"Rio","4/15/2011","20th Century Fox","Adventure","PG",  143619809,  18042690,  142356824
 17,"The Smurfs","7/29/2011","Sony Pictures","Adventure","PG",  142614158,  17916352,  141360017
 18,"Mission: Impossible - Ghost Protocol","12/16/2011","Paramount Pictures","Action","PG-13",  132406086,  16633930,  131241708
 19,"Sherlock Holmes: A Game of Shadows","12/16/2011","Warner Bros.","Action","PG-13",  130903746,  16445194,  129752581
 20,"Super 8","6/10/2011","Paramount Pictures","Thriller/Suspense","PG-13",  127004179,  15955299,  125887309
 21,"Rango","3/4/2011","Paramount Pictures","Adventure","PG",  123257581,  15484621,  122173660
 22,"Horrible Bosses","7/8/2011","Warner Bros.","Comedy","R",  117538559,  14766151,  116504931
 23,"Green Lantern","6/17/2011","Warner Bros.","Action","PG-13",  116601172,  14648388,  115575781
 24,"The King's Speech","11/26/2010","Weinstein Co.","Drama","R",  115865048,  14555911,  114846138
 25,"The Lion King","6/15/1994","Walt Disney Pictures","Adventure","G",  109946967,  13812433,  108980096
 26,"Hop","4/1/2011","Universal","Comedy","PG",  108085305,  13578556,  107134807
 27,"Paranormal Activity 3","10/21/2011","Paramount Pictures","Horror","R",  103993239,  13064477,  103078724
 28,"Just Go With It","2/11/2011","Sony Pictures","Romantic Comedy","PG-13",  103028109,  12943230,  102122085
 29,"Bad Teacher","6/24/2011","Sony Pictures","Comedy","R",  100292856,  12599605,  99410883
 30,"Cowboys and Aliens","7/29/2011","Universal","Action","PG-13",  100240551,  12593034,  99359038
 31,"Gnomeo and Juliet","2/11/2011","Walt Disney Pictures","Comedy","G",  99967670,  12558753,  99088561
 32,"The Green Hornet","1/14/2011","Sony Pictures","Action","PG-13",  98780042,  12409553,  97911373
 33,"Alvin and the Chipmunks: Chipwrecked","12/16/2011","20th Century Fox","Comedy","G",  92729134,  11649389,  91913679
 34,"Real Steel","10/7/2011","Walt Disney Pictures","Action","PG-13",  84493241,  10614729,  83750212
 35,"True Grit","12/22/2010","Paramount Pictures","Western","PG-13",  84379946,  10600496,  83637913
 36,"Crazy, Stupid, Love","7/29/2011","Warner Bros.","Comedy","PG-13",  84351197,  10596884,  83609415
 37,"Battle: Los Angeles","3/11/2011","Sony Pictures","Action","PG-13",  83552429,  10496536,  82817669
 38,"Immortals","11/11/2011","Relativity","Action","R",  82656999,  10384045,  81930115
 39,"The Muppets","11/23/2011","Walt Disney Pictures","Comedy","PG",  82529452,  10368022,  81803694
 40,"Zookeeper","7/8/2011","Sony Pictures","Romantic Comedy","PG",  80360866,  10095586,  79654174
 41,"Limitless","3/18/2011","Relativity","Thriller/Suspense","PG",  79249455,  9955962,  78552540
 42,"Tower Heist","11/4/2011","Universal","Comedy","PG-13",  76733915,  9639939,  76059119
 43,"Contagion","9/9/2011","Warner Bros.","Thriller/Suspense","PG-13",  75658097,  9504786,  74992762
 44,"Moneyball","9/23/2011","Sony Pictures","Drama","PG-13",  74961642,  9417292,  74302434
 45,"Justin Bieber: Never Say Never","2/9/2011","Paramount Pictures","Concert/Performance","G",  73013910,  9172602,  72371830
 46,"Dolphin Tale","9/23/2011","Warner Bros.","Drama","PG",  71963792,  9040677,  71330942
 47,"Jack and Jill","11/11/2011","Sony Pictures","Comedy","PG",  71697648,  9007242,  71067139
 48,"No Strings Attached","1/21/2011","Paramount Pictures","Romantic Comedy","R",  70662220,  8877163,  70040816
 49,"Mr. Poppers's Penguins","6/17/2011","20th Century Fox","Adventure","PG",  68224452,  8570911,  67624488
 50,"Unknown","2/18/2011","Warner Bros.","Thriller/Suspense","PG-13",  63686397,  8000804,  63126344
 51,"The Adjustment Bureau","3/4/2011","Universal","Thriller/Suspense","PG-13",  62495645,  7851212,  61946063
 52,"Happy Feet Two","11/18/2011","Warner Bros.","Adventure","PG",  60808168,  7639217,  60273422
 53,"Black Swan","12/3/2010","Fox Searchlight","Thriller/Suspense","R",  59146887,  7430513,  58626748
 54,"Water for Elephants","4/22/2011","20th Century Fox","Drama","PG-13",  58709717,  7375593,  58193429
 55,"The Lincoln Lawyer","3/18/2011","Lionsgate","Thriller/Suspense","R",  58009200,  7287588,  57499069
 56,"Midnight in Paris","5/20/2011","Sony Pictures Classics","Romantic Comedy","PG-13",  56377732,  7082630,  55881951
 57,"Friends with Benefits","7/22/2011","Sony Pictures","Romantic Comedy","R",  55802754,  7010396,  55312024
 58,"The Girl with the Dragon Tattoo","12/21/2011","Sony Pictures","Thriller/Suspense","R",  55584881,  6983025,  55096067
 59,"I am Number Four","2/18/2011","Walt Disney Pictures","Adventure","PG-13",  55100437,  6922165,  54615882
 60,"Source Code","4/1/2011","Summit Entertainment","Thriller/Suspense","PG-13",  54712227,  6873395,  54231087
 61,"Insidious","4/1/2011","FilmDistrict","Horror","R",  54009150,  6785069,  53534194
 62,"Madea's Big Happy Family","4/22/2011","Lionsgate","Drama","PG-13",  53345287,  6701669,  52876168
 63,"Diary of a Wimpy Kid: Rodrick Rules","3/25/2011","20th Century Fox","Comedy","PG",  52698535,  6620419,  52235106
 64,"Footloose","10/14/2011","Paramount Pictures","Musical","PG-13",  51645004,  6488066,  51190841
 65,"Hugo","11/23/2011","Paramount Pictures","Adventure","?",  49454202,  6212839,  49019300
 66,"The Dilemma","1/14/2011","Universal","Comedy","PG-13",  48475290,  6089861,  48049003
 67,"The Adventures of Tintin","12/21/2011","Paramount Pictures","Adventure","PG",  47475147,  5964214,  47057648
 68,"The Fighter","12/10/2010","Paramount Pictures","Drama","R",  47228156,  5933185,  46812830
 69,"New Year's Eve","12/9/2011","Warner Bros.","Romantic Comedy","PG-13",  45999350,  5778813,  45594835
 70,"Little Fockers","12/22/2010","Universal","Comedy","PG-13",  45862410,  5761609,  45459095
 71,"Arthur Christmas","11/23/2011","Sony Pictures","Adventure","PG",  45820235,  5756311,  45417294
 72,"Hall Pass","2/25/2011","Warner Bros.","Comedy","R",  45060734,  5660896,  44664469
 73,"Soul Surfer","4/8/2011","Sony Pictures","Drama","PG",  43853424,  5509224,  43467777
 74,"Final Destination 5","8/12/2011","Warner Bros.","Horror","R",  42587643,  5350206,  42213125
 75,"The Ides of March","10/7/2011","Sony Pictures","Drama","R",  40825612,  5128846,  40466595
 76,"Tron: Legacy","12/17/2010","Walt Disney Pictures","Adventure","PG",  40757919,  5120342,  40399498
 77,"We Bought a Zoo","12/23/2011","20th Century Fox","Drama","PG",  40725558,  5116276,  40367418
 78,"War Horse","12/25/2011","Walt Disney Pictures","Drama","PG-13",  40451772,  5081881,  40096041
 79,"Hanna","4/8/2011","Focus Features","Drama","PG-13",  40259119,  5057678,  39905079
 80,"The Descendants","11/16/2011","Fox Searchlight","Drama","R",  39420775,  4952359,  39074113
 81,"Something Borrowed","5/6/2011","Warner Bros.","Romantic Comedy","PG-13",  39046489,  4905338,  38703117
 82,"Spy Kids: All the Time in the World","8/19/2011","Weinstein/Dimension","Adventure","PG",  38536376,  4841253,  38197486
 83,"Scream 4","4/15/2011","Weinstein/Dimension","Horror","R",  38180928,  4796599,  37845166
 84,"Big Mommas: Like Father, Like Son","2/18/2011","20th Century Fox","Comedy","PG-13",  37915414,  4763243,  37581987
 85,"Red Riding Hood","3/11/2011","Warner Bros.","Thriller/Suspense","PG-13",  37662162,  4731427,  37330959
 86,"Paul","3/18/2011","Universal","Comedy","R",  37412945,  4700119,  37083939
 87,"The Roommate","2/4/2011","Sony Pictures","Thriller/Suspense","PG-13",  37300107,  4685943,  36972090
 88,"Jumping the Broom","5/6/2011","Sony Pictures","Romantic Comedy","PG-13",  37295394,  4685351,  36967419
 89,"The Change-Up","8/5/2011","Universal","Comedy","R",  37081475,  4658477,  36755384
 90,"30 Minutes or Less","8/12/2011","Sony Pictures","Comedy","R",  37053924,  4655016,  36728076
 91,"In Time","10/28/2011","20th Century Fox","Thriller/Suspense","PG-13",  37046295,  4654057,  36720510
 92,"Colombiana","8/26/2011","Sony Pictures","Thriller/Suspense","PG-13",  36665854,  4606263,  36343415
 93,"J. Edgar","11/9/2011","Warner Bros.","Drama","R",  36572605,  4594548,  36250984
 94,"Sucker Punch","3/25/2011","Warner Bros.","Action","R",  36392502,  4571922,  36072465
 95,"Larry Crowne","7/1/2011","Universal","Romantic Comedy","PG-13",  35608245,  4473398,  35295110
 96,"50/50","9/30/2011","Summit Entertainment","Black Comedy","?",  35014192,  4398768,  34706280
 97,"A Very Harold & Kumar 3D Christmas","11/4/2011","Warner Bros.","Comedy","R",  34895036,  4383798,  34588166
 98,"Drive","9/16/2011","FilmDistrict","Action","R",  34833047,  4376011,  34526727
 99,"Yogi Bear 3D","12/17/2010","Warner Bros.","Adventure","PG",  34490675,  4332999,  34187362
100,"Courageous","9/30/2011","Sony Pictures","Drama","PG-13",  34035920,  4275869,  33736606
101,"The Rite","1/28/2011","Warner Bros.","Horror","PG-13",  33047633,  4151713,  32757016
102,"Arthur","4/8/2011","Warner Bros.","Comedy","PG-13",  33035397,  4150176,  32744889
103,"Tangled","11/24/2010","Walt Disney Pictures","Adventure","PG",  32999950,  4145722,  32709747
104,"The Debt","8/31/2011","Focus Features","Thriller/Suspense","R",  31177548,  3916777,  30903371
105,"Priest in 3D","5/13/2011","Sony Pictures","Horror","PG-13",  29136626,  3660380,  28880398
106,"The Mechanic","1/28/2011","CBS Films","Action","R",  29121498,  3658480,  28865407
107,"Abduction","9/23/2011","Lionsgate","Thriller/Suspense","PG-13",  28087155,  3528537,  27840157
108,"Beastly","3/4/2011","CBS Films","Drama","PG-13",  27865571,  3500700,  27620523
109,"Winnie the Pooh","7/15/2011","Walt Disney Pictures","Adventure","G",  26692846,  3353373,  26458113
110,"The Sitter","12/9/2011","20th Century Fox","Comedy","R",  26317857,  3306263,  26086415
111,"Killer Elite","9/23/2011","Open Road","Action","R",  25124986,  3156405,  24904035
112,"Season of the Witch","1/7/2011","Relativity","Thriller/Suspense","PG-13",  24827228,  3118998,  24608894
113,"Our Idiot Brother","8/26/2011","Weinstein Co.","Comedy","R",  24814830,  3117441,  24596609
114,"Don't Be Afraid of the Dark","8/26/2011","FilmDistrict","Horror","R",  24046682,  3020940,  23835217
115,"Sanctum","2/4/2011","Universal","Adventure","R",  23209310,  2915742,  23005204
116,"Monte Carlo","7/1/2011","20th Century Fox","Romantic Comedy","PG",  23186769,  2912911,  22982868
117,"Your Highness","4/8/2011","Universal","Comedy","R",  21596445,  2713121,  21406525
118,"Mars Needs Moms","3/11/2011","Walt Disney Pictures","Adventure","PG",  21392758,  2687532,  21204627
119,"Dream House","9/30/2011","Universal","Horror","PG-13",  21302340,  2676173,  21115005
120,"Conan the Barbarian 3D","8/19/2011","Lionsgate","Action","R",  21295021,  2675254,  21107754
121,"The Three Musketeers 3D","10/21/2011","Summit Entertainment","Adventure","PG-13",  20374484,  2559609,  20195315
122,"Country Strong","12/22/2010","Sony Pictures","Drama","PG-13",  20099179,  2525022,  19922424
123,"The Eagle","2/11/2011","Focus Features","Action","PG-13",  19490041,  2448498,  19318649
124,"Shark Night 3D","9/2/2011","Relativity","Horror","PG-13",  18877153,  2371502,  18711151
125,"Fright Night","8/19/2011","Walt Disney Pictures","Horror","R",  18298649,  2298825,  18137729
126,"Apollo 18","9/2/2011","Weinstein Co.","Thriller/Suspense","PG-13",  17686929,  2221976,  17531391
127,"The Chronicles of Narnia: The Voyage of the Dawn Treader","12/10/2010","20th Century Fox","Adventure","PG",  17460553,  2193537,  17307007
128,"The Thing","10/14/2011","Universal","Horror","R",  16928670,  2126717,  16779797
129,"African Cats","4/22/2011","Walt Disney Pictures","Documentary","G",  15428747,  1938285,  15293069
130,"Gulliver's Travels","12/22/2010","20th Century Fox","Comedy","PG",  15324755,  1925220,  15189986
131,"Born to be Wild 3D","4/8/2011","Warner Bros.","Documentary","G",  15147629,  1902968,  15014418
132,"Judy Moody and the Not Bummer Summer","6/10/2011","Relativity","Adventure","PG",  15013650,  1886137,  14881621
133,"What's Your Number?","9/30/2011","20th Century Fox","Romantic Comedy","R",  14011084,  1760186,  13887868
134,"One Day","8/19/2011","Focus Features","Drama","PG-13",  13843771,  1739167,  13722028
135,"Warrior","9/9/2011","Lionsgate","Action","PG-13",  13657115,  1715718,  13537015
136,"The Tree of Life","5/27/2011","Fox Searchlight","Drama","PG-13",  13305665,  1671566,  13188656
137,"The Darkest Hour","12/25/2011","Summit Entertainment","Action","PG-13",  13137963,  1650498,  13022429
138,"The Rum Diary","10/28/2011","FilmDistrict","Drama","R",  13109815,  1646962,  12994530
139,"The Tourist","12/10/2010","Sony Pictures","Thriller/Suspense","PG-13",  12997966,  1632910,  12883660
140,"Young Adult","12/9/2011","Paramount Pictures","Comedy","R",  12061771,  1515298,  11955701
141,"Glee: The 3D Concert Movie","8/12/2011","20th Century Fox","Concert/Performance","PG",  11862398,  1490251,  11758080
142,"The Conspirator","4/15/2011","Roadside Attractions","Drama","PG-13",  11538204,  1449523,  11436736
143,"Harry Potter and the Deathly Hallows: Part I","11/19/2010","Warner Bros.","Adventure","PG-13",  11467855,  1440685,  11367005
144,"Jane Eyre","3/11/2011","Focus Features","Drama","PG-13",  11242660,  1412394,  11143789
145,"Drive Angry","2/25/2011","Summit Entertainment","Action","R",  10721033,  1346863,  10626749
146,"Straw Dogs","9/16/2011","Sony Pictures","Thriller/Suspense","R",  10324441,  1297040,  10233646
147,"Hubble 3D","3/19/2010","Warner Bros.","Documentary","G",  10312700,  1295565,  10222008
148,"Win Win","3/18/2011","Fox Searchlight","Drama","R",  10179275,  1278803,  10089756
149,"Hoodwinked 2: Hood vs. Evil","4/29/2011","Weinstein Co.","Adventure","PG",  10143779,  1274344,  10054574
150,"Prom","4/29/2011","Walt Disney Pictures","Comedy","PG",  10130219,  1272641,  10041137
151,"I Don't Know How She Does It","9/16/2011","Weinstein Co.","Comedy","PG-13",  9659074,  1213452,  9574136
152,"Blue Valentine","12/29/2010","Weinstein Co.","Drama","NC-17",  9446285,  1186719,  9363213
153,"My Week with Marilyn","11/23/2011","Weinstein Co.","Drama","R",  8935721,  1122578,  8857140
154,"Johnny English Reborn","10/21/2011","Universal","Comedy","PG",  8305970,  1043464,  8232931
155,"127 Hours","11/5/2010","Fox Searchlight","Drama","R",  7900795,  992562,  7831314
156,"Kevin Hart: Laugh at My Pain","9/9/2011","Codeblack Entertainment","Concert/Performance","R",  7706436,  968145,  7638664
157,"Elle s'appelait Sarah","7/22/2011","Weinstein Co.","Drama","PG",  7691700,  966294,  7624060
158,"The Big Year","10/14/2011","20th Century Fox","Comedy","PG",  7204138,  905042,  7140781
159,"Resident Evil: Afterlife 3D","9/10/2010","Sony Pictures","Horror","R",  6945226,  872516,  6884151
160,"Take Me Home Tonight","3/4/2011","Relativity","Comedy","?",  6928068,  870360,  6867140
161,"Invictus","12/11/2009","Warner Bros.","Drama","PG-13",  6904919,  867452,  6844196
162,"Cedar Rapids","2/11/2011","Fox Searchlight","Comedy","R",  6861102,  861947,  6800762
163,"Beginners","6/3/2011","Focus Features","Drama","R",  5790894,  727499,  5739967
164,"The Guard","7/29/2011","Sony Pictures Classics","Comedy","R",  5336144,  670370,  5289219
165,"Cave of Forgotten Dreams","4/29/2011","IFC Films","Documentary","G",  5247347,  659214,  5201198
166,"Margin Call","10/21/2011","Roadside Attractions","Thriller/Suspense","R",  5245655,  659002,  5199526
167,"How Do You Know?","12/17/2010","Sony Pictures","Romantic Comedy","R",  5171726,  649714,  5126243
168,"The Artist","11/25/2011","Weinstein Co.","Drama","PG-13",  5044344,  633712,  4999988
169,"Biutiful","12/29/2010","Roadside Attractions","Drama","R",  5036565,  632734,  4992271
170,"Under the Sea 3-D","2/13/2009","Warner Bros.","Documentary","G",  5030172,  631931,  4985936
171,"Atlas Shrugged: Part 1","4/15/2011","Rocky Mountain Pictures","Drama","PG-13",  4752353,  597029,  4710559
172,"Anonymous","10/28/2011","Sony Pictures","Thriller/Suspense","PG-13",  4463292,  560715,  4424041
173,"The Company Men","1/21/2011","Weinstein Co.","Drama","R",  4444612,  558368,  4405524
174,"Seven Days In Utopia","9/2/2011","Visio Entertainment","Drama","G",  4367448,  548674,  4329038
175,"Megamind","11/5/2010","Paramount Pictures","Adventure","PG",  4223835,  530633,  4186694
176,"The Way","10/7/2011","Producer's Distribution Agency","Drama","PG-13",  4170058,  523877,  4133390
177,"Buck","6/17/2011","IFC Films","Documentary","PG",  4023123,  505417,  3987740
178,"Tinker Tailor Soldier Spy","12/9/2011","Focus Features","Thriller/Suspense","R",  3955734,  496952,  3920951
179,"Des Hommes et Des Dieux","2/25/2011","Sony Pictures Classics","Drama","R",  3954651,  496815,  3919870
180,"The Social Network","10/1/2010","Sony Pictures","Drama","PG-13",  3740668,  469933,  3707771
181,"Starbuck","7/29/2011","?","Comedy","?",  3450087,  433428,  3419747
182,"Like Crazy","10/28/2011","Paramount Pictures","Drama","PG-13",  3367998,  423115,  3338377
183,"Le sens de l'humour","7/6/2011","Alliance","Comedy","?",  3179193,  399396,  3151234
184,"Don 2","12/22/2011","Reliance Big","Action","?",  3174426,  398797,  3146508
185,"Zindagi Na Milegi Dobara","7/15/2011","Eros Entertainment","Drama","?",  3103656,  389907,  3076366
186,"La piel que habito","10/14/2011","Sony Pictures Classics","Drama","R",  3042108,  382174,  3015353
187,"Another Year","12/29/2010","Sony Pictures Classics","Drama","PG-13",  3041052,  382042,  3014311
188,"From Prada to Nada","1/28/2011","Lionsgate","Romantic Comedy","PG-13",  3033623,  381108,  3006942
189,"Martha Marcy May Marlene","10/21/2011","Fox Searchlight","Thriller/Suspense","R",  2909216,  365479,  2883629
190,"The Way Back","1/21/2011","Newmarket Films","Adventure","PG-13",  2719296,  341620,  2695382
191,"Everything Must Go","5/13/2011","Roadside Attractions","Drama","PG",  2712131,  340720,  2688281
192,"Bucky Larson: Born to Be a Star","9/9/2011","Sony Pictures","Comedy","R",  2529395,  317763,  2507150
193,"Melancholia","11/11/2011","Magnolia Pictures","Thriller/Suspense","R",  2517506,  316270,  2495370
194,"Ra. One","10/28/2011","Eros Entertainment","Action","?",  2509150,  315220,  2487086
195,"The Grace Card","2/25/2011","Samuel Goldwyn Films","Drama","PG-13",  2430735,  305369,  2409361
196,"Space Station","4/19/2002","IMAX Films","Documentary","Not Rated",  2167258,  272269,  2148202
197,"L'illusionniste","12/25/2010","Sony Pictures Classics","Adventure","?",  2107998,  264824,  2089461
198,"Unstoppable","11/12/2010","20th Century Fox","Action","PG-13",  2094456,  263123,  2076040
199,"The Trip","6/10/2011","IFC Films","Comedy","?",  2016345,  253310,  1998616
200,"Shame","12/2/2011","Fox Searchlight","Drama","NC-17",  1965874,  246969,  1948585
201,"Cats & Dogs: The Revenge of Kitty Galore","7/30/2010","Warner Bros.","Comedy","PG",  1953539,  245419,  1936356
202,"The Mighty Macs","10/21/2011","Quaker Media","Drama","G",  1891936,  237680,  1875295
203,"Gerry","6/15/2011","Seville","Drama","?",  1844754,  231753,  1828531
204,"Bodyguard","8/31/2011","Reliance Big","Action","?",  1834384,  230450,  1818251
205,"Rabbit Hole","12/17/2010","Lionsgate","Drama","PG-13",  1793829,  225355,  1778051
206,"A Better Life","6/24/2011","Summit Entertainment","Drama","?",  1759252,  221012,  1743785
207,"Burlesque","11/24/2010","Sony Pictures","Drama","PG-13",  1707094,  214459,  1692082
208,"Take Shelter","9/30/2011","Sony Pictures Classics","Drama","R",  1671202,  209950,  1656506
209,"Potiche","3/25/2011","Music Box Films","Comedy","R",  1618844,  203372,  1604605
210,"Senna","8/12/2011","Universal","Documentary","R",  1612430,  202567,  1598254
211,"I Am","2/18/2011","Paladin","Documentary","?",  1591034,  199879,  1577045
212,"A Dangerous Method","11/23/2011","Sony Pictures Classics","Drama","R",  1576757,  198085,  1562891
213,"Cafe de flore","9/23/2011","Alliance","Drama","?",  1574881,  197849,  1561029
214,"Monsieur Lazhar","10/28/2011","Seville","Drama","PG-13",  1561107,  196119,  1547379
215,"Delhi Belly","7/1/2011","UTV Communications","Comedy","?",  1532594,  192537,  1519117
216,"La doppia ora","4/15/2011","Samuel Goldwyn Films","Thriller/Suspense","?",  1514942,  190319,  1501617
217,"Bill Cunningham New York","3/16/2011","Zeitgeist","Documentary","?",  1510026,  189702,  1496749
218,"Breakaway","9/30/2011","Alliance","Comedy","?",  1481735,  186148,  1468708
219,"The Art of Getting By","6/17/2011","Fox Searchlight","Romantic Comedy","PG-13",  1430241,  179679,  1417667
220,"Salvando al Soldado Perez","9/2/2011","Lionsgate","Action","PG-13",  1400726,  175971,  1388411
221,"The Devil's Double","7/29/2011","Lionsgate","Drama","R",  1361512,  171044,  1349537
222,"Somewhere","12/22/2010","Focus Features","Drama","R",  1352809,  169951,  1340913
223,"2011 Oscar Shorts","2/11/2011","Shorts International","Multiple Genres","?",  1352152,  169868,  1340259
224,"Snow Flower and the Secret Fan","7/15/2011","Fox Searchlight","Drama","PG-13",  1348205,  169372,  1336345
225,"Copie conforme","3/11/2011","IFC Films","Drama","?",  1340615,  168419,  1328826
226,"No Eres Tu, Soy Yo","4/8/2011","Lionsgate","Romantic Comedy","PG-13",  1339911,  168331,  1328132
227,"Another Earth","7/22/2011","Fox Searchlight","Drama","PG-13",  1321194,  165979,  1309574
228,"Due Date","11/5/2010","Warner Bros.","Comedy","R",  1307121,  164211,  1295625
229,"Beats, Rhymes & Life: The Travels of a Tribe Called Quest","7/8/2011","Sony Pictures Classics","Documentary","R",  1200046,  150760,  1189496
230,"Kill the Irishman","3/11/2011","Anchor Bay Entertainment","Drama","R",  1188194,  149271,  1177748
231,"Dylan Dog: Dead of Night","4/29/2011","Omni/Freestyle","Horror","PG-13",  1186538,  149063,  1176107
232,"Sholem Aleichem: Laughing in the Darkness","7/8/2011","International Film Circuit","Documentary","?",  1131261,  142118,  1121311
233,"The Whistleblower","8/5/2011","Samuel Goldwyn Films","Drama","R",  1120914,  140818,  1111054
234,"The Heart Specialist","1/14/2011","Freestyle Releasing","Romantic Comedy","R",  1103037,  138572,  1093333
235,"Love and Other Drugs","11/24/2010","20th Century Fox","Drama","R",  1099917,  138181,  1090248
236,"There Be Dragons","5/6/2011","Samuel Goldwyn Films","Drama","PG-13",  1069334,  134338,  1059927
237,"Page One: Inside the New York Times","6/17/2011","Magnolia Pictures","Documentary","R",  1067028,  134049,  1057647
238,"Desi Boyz","11/25/2011","Eros Entertainment","Comedy","?",  1066167,  133941,  1056794
239,"Red State","3/5/2011","Smodshow Productions","Horror","R",  1065429,  133848,  1056061
240,"Attack the Block","7/29/2011","Sony/Screen Gems","Action","R",  1024175,  128665,  1015167
241,"Haevnen","4/1/2011","Sony Pictures Classics","Drama","R",  1008098,  126645,  999229
242,"Rockstar","11/11/2011","Eros Entertainment","Drama","?",  985912,  123858,  977240
243,"Meek's Cutoff","4/8/2011","Oscilloscope Pictures","Drama","PG",  977772,  122836,  969176
244,"Yamla Pagla Deewana","1/14/2011","Eros Entertainment","Comedy","?",  971240,  122015,  962698
245,"The Beaver","5/6/2011","Summit Entertainment","Comedy","PG-13",  970816,  121962,  962280
246,"Redi","6/3/2011","Eros Entertainment","Comedy","?",  934951,  117456,  926728
247,"I Love You, Phillip Morris","12/3/2010","Roadside Attractions","Comedy","R",  911157,  114467,  903145
248,"Red","10/15/2010","Summit Entertainment","Action","PG-13",  874975,  109921,  867277
249,"Inside Job","10/8/2010","Sony Pictures Classics","Documentary","PG-13",  859817,  108017,  852254
250,"Higher Ground","8/26/2011","Mongrel Media","Drama","R",  841056,  105660,  833657
251,"Sur le rythme","8/10/2011","Seville","Comedy","PG",  833180,  104671,  825854
252,"The Lord of the Rings: The Return of the King","12/17/2003","Warner Bros.","Adventure","PG-13",  818580,  102837,  811384
253,"Casino Jack","12/17/2010","Samuel Goldwyn Films","Thriller/Suspense","R",  808865,  101616,  801750
254,"Jûsan-nin no shikaku","4/29/2011","Magnolia Pictures","Action","R",  802778,  100852,  795722
255,"The Lord of the Rings: The Fellowship of the Ring","12/19/2001","Warner Bros.","Adventure","PG-13",  768580,  96555,  761819
256,"The Lord of the Rings: The Two Towers","12/18/2002","Warner Bros.","Adventure","PG-13",  764607,  96056,  757882
257,"Le hérisson","3/12/2010","NeoClassics Films","Drama","?",  755668,  94933,  749021
258,"Les femmes du 6ème étage","6/3/2011","Strand","Comedy","?",  733294,  92122,  726843
259,"Mausam","9/23/2011","Eros Entertainment","?","?",  725966,  91202,  719584
260,"A bout portant","7/29/2011","Magnolia Pictures","Thriller/Suspense","R",  708215,  88972,  701989
261,"The Polar Express","11/10/2004","Warner Bros.","Adventure","G",  707336,  88861,  701113
262,"Hobo with a Shotgun","5/6/2011","Magnolia Pictures","Action","?",  703372,  88363,  697184
263,"Mozart's Sister","8/19/2011","Music Box Films","Drama","?",  684496,  85992,  678477
264,"Tabloid!","7/15/2011","IFC Films","Documentary","R",  682559,  85749,  676560
265,"Terri","7/1/2011","ATO Pictures","Comedy","R",  655802,  82387,  650033
266,"Aarakshan","8/12/2011","Reliance Big","Drama","?",  651096,  81796,  645370
267,"Secretariat","10/8/2010","Walt Disney Pictures","Drama","PG",  645831,  81135,  640155
268,"Patiala House","2/11/2011","Tachyon","Drama","?",  644010,  80906,  638348
269,"POM Wonderful Presents: The Greatest Movie Ever Sold","4/22/2011","Sony Pictures Classics","Documentary","PG-13",  638476,  80211,  632865
270,"The Last Lions","2/18/2011","National Geographic Entertainment","Documentary","PG",  635325,  79815,  629740
271,"Made in Dagenham","11/19/2010","Sony Pictures Classics","Drama","R",  602990,  75753,  597691
272,"Dhobi Ghat","1/21/2011","UTV Communications","Drama","?",  577485,  72548,  572404
273,"The Future","7/29/2011","Roadside Attractions","Drama","R",  568662,  71440,  563662
274,"Dum Maaro Dum","4/22/2011","Fox Searchlight","Drama","R",  564489,  70916,  559527
275,"Even the Rain","2/18/2011","Vitagraph Films","?","?",  558132,  70117,  553223
276,"Double Dhamaal","6/24/2011","Reliance Big","Comedy","?",  543646,  68297,  538863
277,"Winter in Wartime","3/18/2011","Sony Pictures Classics","Drama","R",  542860,  68198,  538082
278,"Machine Gun Preacher","9/23/2011","Relativity","Drama","R",  538690,  67675,  533956
