"Rank", "Title", "Release", "Distributor", "Genre", "MPAA", "Gross", "Tickets", "Adjusted Gross"
495,"CornerStore","8/12/2011","Shotown Pictures","Comedy","?",  40508,  5089,  40152
496,"Louder Than A Bomb","5/18/2011","Balcony Releasing","Documentary","?",  40362,  5071,  40010
497,"Road to Nowhere","6/10/2011","Monterey Media","Thriller/Suspense","R",  40294,  5062,  39939
498,"Baiyin diguo","6/3/2011","China Lion Film Distribution","Drama","?",  40052,  5032,  39702
499,"3 Backyards","3/11/2011","Screen Media Films","Drama","R",  39475,  4959,  39127
500,"Myth of the American Sleepover","7/22/2011","IFC Films","Drama","?",  39315,  4939,  38969
501,"We need to Talk About Kevin","12/9/2011","Oscilloscope Pictures","Drama","?",  39297,  4937,  38953
502,"O Estranho Caso de Angélica","12/31/2010","Cinema Guild","Drama","?",  38996,  4899,  38653
503,"When Harry Tries to Marry","4/22/2011","108 Pics","Romantic Comedy","PG-13",  38261,  4807,  37927
504,"Where Soldiers Come From","9/9/2011","International Film Circuit","Documentary","?",  38151,  4793,  37817
505,"11-11-11","11/11/2011","Rocket Releasing","Horror","R",  38100,  4786,  37762
506,"Le rayon vert","6/9/2011","The Film Desk","?","?",  37804,  4749,  37470
507,"En ganske snill mann","1/14/2011","Strand","Black Comedy","?",  37743,  4742,  37414
508,"Fireflies in the Garden","10/14/2011","?","Drama","?",  36884,  4634,  36562
509,"Granito: How to Nail a Dictator","9/14/2011","Skylight Pictures","Documentary","?",  36738,  4615,  36412
510,"Sleeping Beauty","12/2/2011","IFC Films","Drama","?",  36578,  4595,  36255
511,"Dogtooth","6/25/2010","Kino International","Drama","?",  36399,  4573,  36081
512,"Da Wu Sheng","9/9/2011","China Lion Film Distribution","Drama","?",  35986,  4521,  35671
513,"Hell and Back Again","10/5/2011","Docurama","Documentary","?",  34637,  4351,  34329
514,"Hereafter","10/15/2010","Warner Bros.","Thriller/Suspense","PG-13",  34355,  4316,  34053
515,"Love in Space","9/9/2011","China Lion Film Distribution","Romantic Comedy","PG",  33976,  4268,  33675
516,"Making the Boys","3/11/2011","First Run Features","Documentary","?",  33833,  4250,  33533
517,"Tamara Drewe","10/8/2010","Sony Pictures Classics","Comedy","R",  33752,  4240,  33454
518,"The Time That Remains","1/7/2011","IFC Films","Drama","?",  33226,  4174,  32933
519,"American Teacher","9/30/2011","First Run Features","Documentary","?",  33144,  4164,  32854
520,"Meet Monica Velour","4/8/2011","Anchor Bay Entertainment","Comedy","?",  33042,  4151,  32751
521,"Film Socialisme","6/3/2011","Lorber Films","Drama","?",  32977,  4143,  32688
522,"Octubre","5/6/2011","New Yorker","Comedy","?",  32127,  4036,  31844
523,"HEY, BOO: Harper Lee and To Kill a Mockingbird","5/13/2011","First Run Features","Documentary","?",  31135,  3911,  30858
524,"Small Town Murder Songs","5/27/2011","Monterey Media","Thriller/Suspense","R",  31133,  3911,  30858
525,"White Irish Drinkers","3/25/2011","IFC Films","Drama","R",  31056,  3902,  30787
526,"The Son of No One","11/4/2011","Anchor Bay Entertainment","Drama","R",  30680,  3854,  30408
527,"Outrage","12/2/2011","Magnolia Pictures","Drama","R",  30440,  3824,  30171
528,"Muran","9/30/2011","UTV Communications","?","?",  30116,  3783,  29848
529,"Cat Run","4/1/2011","Paladin","Comedy","?",  30100,  3781,  29832
530,"Redemption Road","8/26/2011","Freestyle Releasing","Drama","?",  29384,  3691,  29122
531,"Topp Twins Untouchable Girls","5/13/2011","Argot Pictures","Documentary","?",  29200,  3668,  28941
532,"Chasing Madoff","8/26/2011","Cohen Media Group","Documentary","?",  28850,  3624,  28593
533,"La belle endormie","7/8/2011","Strand","Drama","?",  28791,  3617,  28538
534,"Salvation Boulevard","7/15/2011","IFC Films","Comedy","R",  28468,  3576,  28215
535,"Marti, dupa craciun","5/25/2011","Lorber Films","Drama","?",  27813,  3494,  27568
536,"Khodorkovsky","11/30/2011","Kino Lorber","Documentary","?",  27718,  3482,  27473
537,"Animal Kingdom","8/13/2010","Sony Pictures Classics","Drama","R",  27622,  3470,  27378
538,"Bay Rong","3/11/2011","Variance Films","Action","R",  27052,  3398,  26810
539,"Enemies of the People","7/30/2010","International Film Circuit","Documentary","?",  26708,  3355,  26471
540,"Caesar & Otto's Summer Camp Massacre","9/16/2011","Nocturnal Features","Comedy","?",  25844,  3247,  25619
541,"Howl","9/24/2010","Oscilloscope Pictures","Drama","R",  25522,  3206,  25295
542,"Waiting for Forever","2/4/2011","Freestyle Releasing","Romantic Comedy","PG-13",  25517,  3206,  25295
543,"Cost of a Soul","5/20/2011","Relativity","Drama","R",  25365,  3187,  25145
544,"Bonnie & Clyde vs. Dracula","3/11/2011","Indican Pictures","Action","?",  25027,  3144,  24806
545,"Paul Goodman Changed My Life","10/19/2011","Zeitgeist","Documentary","?",  25020,  3143,  24798
546,"Harvest","5/6/2011","Monterey Media","Drama","R",  24657,  3098,  24443
547,"Immigration Tango","2/18/2011","Roadside Attractions","Comedy","R",  24554,  3085,  24341
548,"After","9/9/2011","?","Drama","R",  24545,  3084,  24333
549,"Vincent will Meer","6/24/2011","Corinth Films","Drama","?",  24377,  3062,  24159
550,"The Autobiography of Nicolae Ceausescu","9/9/2011","The Film Desk","Documentary","?",  24290,  3052,  24080
551,"Shut Up Little Man! An Audio Misadventure","8/26/2011","TriBeca Films","Documentary","?",  23901,  3003,  23694
552,"Stake Land","4/22/2011","IFC Films","Horror","R",  22970,  2886,  22771
553,"Nine Nation Animation","9/29/2010","The World According to Shorts","Multiple Genres","?",  22731,  2856,  22534
554,"Vanishing on Seventh Street","2/18/2011","Magnet Pictures","Thriller/Suspense","R",  22729,  2855,  22526
555,"The Other Woman","2/4/2011","IFC Films","Comedy","R",  22597,  2839,  22400
556,"Black Death","3/11/2011","Magnet Pictures","Horror","R",  22554,  2833,  22352
557,"Ceremony","4/8/2011","Magnolia Pictures","Romantic Comedy","R",  22270,  2798,  22076
558,"Bheja Fry 2","6/17/2011","?","Comedy","?",  22266,  2797,  22068
559,"All's Faire in Love","10/28/2011","Hannover House","Romantic Comedy","PG",  22180,  2786,  21982
560,"Jane's Journey","9/16/2011","First Run Features","Documentary","?",  22101,  2777,  21911
561,"Answers to Nothing","12/2/2011","Roadside Attractions","Drama","R",  22049,  2770,  21855
562,"Incendiary: The Willingham Case","9/23/2011","Truly Indie","Documentary","?",  21882,  2749,  21690
563,"The Arbor","4/29/2011","Strand","Documentary","?",  21610,  2715,  21421
564,"Monogamy","3/11/2011","Oscilloscope Pictures","Drama","?",  21527,  2704,  21335
565,"Night Catches Us","12/3/2010","Magnolia Pictures","Drama","R",  21271,  2672,  21082
566,"Rare Exports: A Christmas Tale","12/3/2010","Oscilloscope Pictures","Comedy","R",  20917,  2628,  20735
567,"Cameraman: The Life and Work of Jack Cardiff","5/13/2011","Strand","Documentary","?",  20840,  2618,  20656
568,"Griff the Invisible","8/19/2011","Indomina Releasing","Romantic Comedy","PG-13",  20778,  2610,  20593
569,"Bereavement","3/4/2011","?","Horror","R",  20744,  2606,  20561
570,"Resurrect Dead: The Mystery of the Toynbee Tiles","9/2/2011","Argot Pictures","Documentary","?",  20726,  2604,  20546
571,"Genesis Code","2/18/2011","?","Drama","PG",  20300,  2550,  20120
572,"Brotherhood","2/18/2011","Phase 4 Films","Thriller/Suspense","R",  19722,  2478,  19551
573,"Die Fremde","1/28/2011","Olive Films","Drama","?",  19631,  2466,  19457
574,"Skateland","5/13/2011","Freestyle Releasing","Drama","PG-13",  19412,  2439,  19244
575,"L'apollonide - souvenirs de la maison close","11/25/2011","IFC Films","Drama","?",  19327,  2428,  19157
576,"The Next Three Days","11/19/2010","Lionsgate","Thriller/Suspense","PG-13",  19303,  2425,  19133
577,"Client 9: The Rise and Fall of Eliot Spitzer","11/5/2010","Magnolia Pictures","Documentary","R",  18587,  2335,  18423
578,"You Will Meet a Tall Dark Stranger","9/22/2010","Sony Pictures Classics","Drama","R",  18230,  2290,  18068
579,"L'instinct de mort","8/27/2010","Music Box Films","Drama","R",  18218,  2289,  18060
580,"Cracks","3/18/2011","IFC Films","Drama","R",  18185,  2285,  18029
581,"Battle for Brooklyn","6/17/2011","Rooftop Films","Documentary","?",  17981,  2259,  17824
582,"5 Days of War","8/19/2011","Anchor Bay Entertainment","Drama","R",  17479,  2196,  17326
583,"Littlerock","8/12/2011","Variance Films","Drama","?",  17309,  2174,  17153
584,"Garbo: El espía","11/18/2011","First Run Features","Documentary","?",  17138,  2153,  16987
585,"InSight","9/2/2011","Check Entertainment Distribution","Thriller/Suspense","R",  17107,  2149,  16956
586,"Feed the Fish","4/23/2010","Strand","Romantic Comedy","?",  17085,  2146,  16932
587,"Mia et le Migou","3/25/2011","GKIDS","Adventure","PG",  16975,  2133,  16829
588,"Trespass","10/14/2011","Millenium Films","Thriller/Suspense","R",  16816,  2113,  16672
589,"The Little Traitor","10/16/2009","Westchester Films","Drama","?",  16284,  2046,  16143
590,"The Last Ride","10/21/2011","?","Drama","PG-13",  16270,  2044,  16127
591,"Tyrannosaur","11/18/2011","Strand","Drama","?",  15735,  1977,  15599
592,"Dumbstruck","4/15/2011","Truly Indie","Documentary","PG",  15378,  1932,  15243
593,"The Tenant","4/15/2011","Indican Pictures","Thriller/Suspense","?",  15003,  1885,  14873
594,"Ong Bak 3","1/14/2011","Magnet Pictures","Action","R",  14890,  1871,  14762
595,"Strange Powers: Stephin Merritt and the Magnetic Fields","10/29/2010","Variance Films","Documentary","?",  14567,  1830,  14439
596,"Armadillo","4/15/2011","Lorber Films","Documentary","?",  14566,  1830,  14439
597,"The Chaperone","2/18/2011","Samuel Goldwyn Films","Comedy","PG-13",  14400,  1809,  14273
598,"Guy and Madeline on a Park Bench","11/5/2010","Variance Films","Musical","?",  14284,  1794,  14155
599,"Sahib Biwi Aur Gangster","9/30/2011","UTV Communications","?","?",  14231,  1788,  14107
600,"Sympathy for Delicious","4/29/2011","Maya Releasing","Comedy","R",  13826,  1737,  13705
601,"William S. Burroughs: A Man Within","11/19/2010","Oscilloscope Pictures","Documentary","?",  13772,  1730,  13650
602,"Benda Bilili!","9/30/2011","National Geographic Entertainment","Documentary","PG-13",  13420,  1686,  13303
603,"Beautiful Darling","4/22/2011","Corinth Films","Documentary","?",  13400,  1683,  13279
604,"Charlotte Rampling: The Look","11/4/2011","Kino Lorber","Documentary","?",  13171,  1655,  13058
605,"L'ennemi public n°1","9/3/2010","Music Box Films","Drama","R",  13134,  1650,  13019
606,"Under the Boardwalk: The MONOPOLY Story","3/4/2011","Self Distributed","Documentary","G",  13080,  1643,  12963
607,"The Town","9/17/2010","Warner Bros.","Drama","R",  13027,  1637,  12916
608,"OKA!","10/14/2011","Dada Films","Adventure","?",  12999,  1633,  12884
609,"Bloodworth","5/20/2011","Samuel Goldwyn Films","Drama","R",  12971,  1630,  12861
610,"I'm Not Jesus Mommy","5/6/2011","FilmDemic","Thriller/Suspense","R",  12620,  1585,  12506
611,"Año Bisiesto","6/24/2011","Strand","Drama","?",  12561,  1578,  12450
612,"Nenette","12/22/2010","Kino International","Documentary","?",  12559,  1578,  12450
613,"America the Beautiful II: The Thin Commandments","10/12/2011","?","Documentary","?",  12366,  1554,  12261
614,"Rebirth","8/31/2011","Oscilloscope Pictures","Documentary","?",  12358,  1553,  12253
615,"Back Door Channels: The Price of Peace","9/16/2011","Fisher Klingenstein Films","Documentary","?",  12139,  1525,  12032
616,"Eu cand vreau sa fluier, fluier","1/5/2011","Film Movement","Drama","?",  12135,  1524,  12024
